In,a,splendid,chamber,of,the
guards,upon,the,landingplace,have,fancied
upon,the,landingplace,have,fancied,that
the,landingplace,have,fancied,that,the
landingplace,have,fancied,that,the,shade
have,fancied,that,the,shade,of
fancied,that,the,shade,of,Cardinal
that,the,shade,of,Cardinal,Richelieu
the,shade,of,Cardinal,Richelieu,lingered
shade,of,Cardinal,Richelieu,lingered,still
of,Cardinal,Richelieu,lingered,still,in
Cardinal,Richelieu,lingered,still,in,his
Richelieu,lingered,still,in,his,accustomed
lingered,still,in,his,accustomed,haunt
France,enfeebled,the,authority,of,her
enfeebled,the,authority,of,her,sovereign
the,authority,of,her,sovereign,contemned
authority,of,her,sovereign,contemned,her
of,her,sovereign,contemned,her,nobles
her,sovereign,contemned,her,nobles,returning
sovereign,contemned,her,nobles,returning,to
contemned,her,nobles,returning,to,their
her,nobles,returning,to,their,former
nobles,returning,to,their,former,turbulence
returning,to,their,former,turbulence,and
to,their,former,turbulence,and,insolence
their,former,turbulence,and,insolence,her
former,turbulence,and,insolence,her,enemies
turbulence,and,insolence,her,enemies,within
and,insolence,her,enemies,within,her
insolence,her,enemies,within,her,frontiersall
her,enemies,within,her,frontiersall,proved
enemies,within,her,frontiersall,proved,the
within,her,frontiersall,proved,the,great
her,frontiersall,proved,the,great,Richelieu
frontiersall,proved,the,great,Richelieu,no
proved,the,great,Richelieu,no,longer
the,great,Richelieu,no,longer,in
great,Richelieu,no,longer,in,existence
In,truth,that,the,red,simar
truth,that,the,red,simar,which
that,the,red,simar,which,occupied
the,red,simar,which,occupied,the
red,simar,which,occupied,the,wonted
simar,which,occupied,the,wonted,place
which,occupied,the,wonted,place,was
occupied,the,wonted,place,was,his
the,wonted,place,was,his,no
wonted,place,was,his,no,longer
place,was,his,no,longer,was
was,his,no,longer,was,still
his,no,longer,was,still,more
no,longer,was,still,more,strikingly
longer,was,still,more,strikingly,obvious
was,still,more,strikingly,obvious,from
still,more,strikingly,obvious,from,the
more,strikingly,obvious,from,the,isolation
strikingly,obvious,from,the,isolation,which
obvious,from,the,isolation,which,seemed
from,the,isolation,which,seemed,as
the,isolation,which,seemed,as,we
isolation,which,seemed,as,we,have
which,seemed,as,we,have,observed
seemed,as,we,have,observed,more
as,we,have,observed,more,appropriate
we,have,observed,more,appropriate,to
have,observed,more,appropriate,to,a
observed,more,appropriate,to,a,phantom
more,appropriate,to,a,phantom,than
appropriate,to,a,phantom,than,a
to,a,phantom,than,a,living
a,phantom,than,a,living,creaturefrom
phantom,than,a,living,creaturefrom,the
than,a,living,creaturefrom,the,corridors
a,living,creaturefrom,the,corridors,deserted
living,creaturefrom,the,corridors,deserted,by
creaturefrom,the,corridors,deserted,by,courtiers
the,corridors,deserted,by,courtiers,and
corridors,deserted,by,courtiers,and,courts
deserted,by,courtiers,and,courts,crowded
by,courtiers,and,courts,crowded,with
courtiers,and,courts,crowded,with,guardsfrom
and,courts,crowded,with,guardsfrom,that
courts,crowded,with,guardsfrom,that,spirit
crowded,with,guardsfrom,that,spirit,of
with,guardsfrom,that,spirit,of,bitter
guardsfrom,that,spirit,of,bitter,ridicule
that,spirit,of,bitter,ridicule,which
spirit,of,bitter,ridicule,which,arising
of,bitter,ridicule,which,arising,from
bitter,ridicule,which,arising,from,the
ridicule,which,arising,from,the,streets
which,arising,from,the,streets,below
arising,from,the,streets,below,penetrated
from,the,streets,below,penetrated,through
the,streets,below,penetrated,through,the
streets,below,penetrated,through,the,very
below,penetrated,through,the,very,casements
penetrated,through,the,very,casements,of
through,the,very,casements,of,the
the,very,casements,of,the,room
very,casements,of,the,room,which
casements,of,the,room,which,resounded
of,the,room,which,resounded,with
the,room,which,resounded,with,the
room,which,resounded,with,the,murmurs
which,resounded,with,the,murmurs,of
resounded,with,the,murmurs,of,a
with,the,murmurs,of,a,whole
the,murmurs,of,a,whole,city
murmurs,of,a,whole,city,leagued
of,a,whole,city,leagued,against
a,whole,city,leagued,against,the
whole,city,leagued,against,the,minister
city,leagued,against,the,minister,as
leagued,against,the,minister,as,well
against,the,minister,as,well,as
the,minister,as,well,as,from
minister,as,well,as,from,the
as,well,as,from,the,distant
well,as,from,the,distant,and
as,from,the,distant,and,incessant
from,the,distant,and,incessant,sounds
the,distant,and,incessant,sounds,of
distant,and,incessant,sounds,of,guns
and,incessant,sounds,of,guns,firinglet
incessant,sounds,of,guns,firinglet,off
sounds,of,guns,firinglet,off,happily
of,guns,firinglet,off,happily,without
guns,firinglet,off,happily,without,other
firinglet,off,happily,without,other,end
off,happily,without,other,end,or
happily,without,other,end,or,aim
without,other,end,or,aim,except
other,end,or,aim,except,to
end,or,aim,except,to,show
or,aim,except,to,show,to
aim,except,to,show,to,the
except,to,show,to,the,guards
to,show,to,the,guards,the
show,to,the,guards,the,Swiss
to,the,guards,the,Swiss,troops
the,guards,the,Swiss,troops,and
guards,the,Swiss,troops,and,the
the,Swiss,troops,and,the,military
Swiss,troops,and,the,military,who
troops,and,the,military,who,surrounded
and,the,military,who,surrounded,the
the,military,who,surrounded,the,Palais
military,who,surrounded,the,Palais,Royal
who,surrounded,the,Palais,Royal,that
surrounded,the,Palais,Royal,that,the
the,Palais,Royal,that,the,people
Palais,Royal,that,the,people,were
Royal,that,the,people,were,possessed
that,the,people,were,possessed,of
the,people,were,possessed,of,arms
The,shade,of,Richelieu,was,Mazarin
Now,Mazarin,was,alone,and,defenceless
Mazarin,was,alone,and,defenceless,as
was,alone,and,defenceless,as,he
alone,and,defenceless,as,he,well
and,defenceless,as,he,well,knew
that,is,their,mean,yet,mighty
is,their,mean,yet,mighty,byword
their,mean,yet,mighty,byword,of
mean,yet,mighty,byword,of,reproachthe
yet,mighty,byword,of,reproachthe,watchword
mighty,byword,of,reproachthe,watchword,with
byword,of,reproachthe,watchword,with,which
of,reproachthe,watchword,with,which,they
reproachthe,watchword,with,which,they,assassinated
watchword,with,which,they,assassinated,hanged
with,which,they,assassinated,hanged,and
which,they,assassinated,hanged,and,made
they,assassinated,hanged,and,made,away
assassinated,hanged,and,made,away,with
hanged,and,made,away,with,Concini
and,made,away,with,Concini,and
made,away,with,Concini,and,if
away,with,Concini,and,if,I
with,Concini,and,if,I,gave
Concini,and,if,I,gave,them
and,if,I,gave,them,their
if,I,gave,them,their,way
I,gave,them,their,way,they
gave,them,their,way,they,would
them,their,way,they,would,assassinate
their,way,they,would,assassinate,hang
way,they,would,assassinate,hang,and
they,would,assassinate,hang,and,make
would,assassinate,hang,and,make,away
assassinate,hang,and,make,away,with
hang,and,make,away,with,me
and,make,away,with,me,in
make,away,with,me,in,the
away,with,me,in,the,same
with,me,in,the,same,manner
me,in,the,same,manner,although
in,the,same,manner,although,they
the,same,manner,although,they,have
same,manner,although,they,have,nothing
manner,although,they,have,nothing,to
although,they,have,nothing,to,complain
they,have,nothing,to,complain,of
have,nothing,to,complain,of,except
nothing,to,complain,of,except,a
to,complain,of,except,a,tax
complain,of,except,a,tax,or
of,except,a,tax,or,two
except,a,tax,or,two,now
a,tax,or,two,now,and
tax,or,two,now,and,then
ignorant,of,their,real,enemies,they
of,their,real,enemies,they,do
their,real,enemies,they,do,not
real,enemies,they,do,not,perceive
enemies,they,do,not,perceive,that
they,do,not,perceive,that,it
do,not,perceive,that,it,is
not,perceive,that,it,is,not
perceive,that,it,is,not,the
that,it,is,not,the,Italian
it,is,not,the,Italian,who
is,not,the,Italian,who,speaks
not,the,Italian,who,speaks,French
the,Italian,who,speaks,French,badly
Italian,who,speaks,French,badly,but
who,speaks,French,badly,but,those
speaks,French,badly,but,those,who
French,badly,but,those,who,can
badly,but,those,who,can,say
but,those,who,can,say,fine
those,who,can,say,fine,things
who,can,say,fine,things,to
can,say,fine,things,to,them
say,fine,things,to,them,in
fine,things,to,them,in,the
things,to,them,in,the,purest
to,them,in,the,purest,Parisian
them,in,the,purest,Parisian,accent
in,the,purest,Parisian,accent,who
the,purest,Parisian,accent,who,are
purest,Parisian,accent,who,are,their
Parisian,accent,who,are,their,real
accent,who,are,their,real,foes
Yes,yes,Mazarin,continued,whilst,his
yes,Mazarin,continued,whilst,his,wonted
Mazarin,continued,whilst,his,wonted,smile
continued,whilst,his,wonted,smile,full
whilst,his,wonted,smile,full,of
his,wonted,smile,full,of,subtlety
wonted,smile,full,of,subtlety,lent
smile,full,of,subtlety,lent,a
full,of,subtlety,lent,a,strange
of,subtlety,lent,a,strange,expression
subtlety,lent,a,strange,expression,to
lent,a,strange,expression,to,his
a,strange,expression,to,his,pale
strange,expression,to,his,pale,lips
expression,to,his,pale,lips,yes
to,his,pale,lips,yes,these
his,pale,lips,yes,these,noises
pale,lips,yes,these,noises,prove
lips,yes,these,noises,prove,to
yes,these,noises,prove,to,me
these,noises,prove,to,me,indeed
noises,prove,to,me,indeed,that
prove,to,me,indeed,that,the
to,me,indeed,that,the,destiny
me,indeed,that,the,destiny,of
indeed,that,the,destiny,of,favorites
that,the,destiny,of,favorites,is
the,destiny,of,favorites,is,precarious
destiny,of,favorites,is,precarious,but
of,favorites,is,precarious,but,ye
favorites,is,precarious,but,ye,shall
is,precarious,but,ye,shall,know
precarious,but,ye,shall,know,I
but,ye,shall,know,I,am
ye,shall,know,I,am,no
shall,know,I,am,no,ordinary
know,I,am,no,ordinary,favorite
The,Earl,of,Essex,tis,true
Earl,of,Essex,tis,true,wore
of,Essex,tis,true,wore,a
Essex,tis,true,wore,a,splendid
tis,true,wore,a,splendid,ring
true,wore,a,splendid,ring,set
wore,a,splendid,ring,set,with
a,splendid,ring,set,with,diamonds
splendid,ring,set,with,diamonds,given
ring,set,with,diamonds,given,him
set,with,diamonds,given,him,by
with,diamonds,given,him,by,his
diamonds,given,him,by,his,royal
given,him,by,his,royal,mistress
him,by,his,royal,mistress,whilst
by,his,royal,mistress,whilst,II
his,royal,mistress,whilst,II,have
royal,mistress,whilst,II,have,nothing
mistress,whilst,II,have,nothing,but
whilst,II,have,nothing,but,a
II,have,nothing,but,a,simple
have,nothing,but,a,simple,circlet
nothing,but,a,simple,circlet,of
but,a,simple,circlet,of,gold
a,simple,circlet,of,gold,with
simple,circlet,of,gold,with,a
circlet,of,gold,with,a,cipher
of,gold,with,a,cipher,on
gold,with,a,cipher,on,it
with,a,cipher,on,it,and
a,cipher,on,it,and,a
cipher,on,it,and,a,date
on,it,and,a,date,but
it,and,a,date,but,that
and,a,date,but,that,ring
a,date,but,that,ring,has
date,but,that,ring,has,been
but,that,ring,has,been,blessed
that,ring,has,been,blessed,in
ring,has,been,blessed,in,the
has,been,blessed,in,the,chapel
been,blessed,in,the,chapel,of
blessed,in,the,chapel,of,the
in,the,chapel,of,the,Palais
the,chapel,of,the,Palais,Royal
chapel,of,the,Palais,Royal,so
of,the,Palais,Royal,so,they
the,Palais,Royal,so,they,will
Palais,Royal,so,they,will,never
Royal,so,they,will,never,ruin
so,they,will,never,ruin,me
they,will,never,ruin,me,as
will,never,ruin,me,as,they
never,ruin,me,as,they,long
ruin,me,as,they,long,to
me,as,they,long,to,do
as,they,long,to,do,and
they,long,to,do,and,whilst
long,to,do,and,whilst,they
to,do,and,whilst,they,shout
do,and,whilst,they,shout,Down
and,whilst,they,shout,Down,with
whilst,they,shout,Down,with,Mazarin
they,shout,Down,with,Mazarin,I
shout,Down,with,Mazarin,I,unknown
Down,with,Mazarin,I,unknown,and
with,Mazarin,I,unknown,and,unperceived
Mazarin,I,unknown,and,unperceived,by
I,unknown,and,unperceived,by,them
unknown,and,unperceived,by,them,incite
and,unperceived,by,them,incite,them
unperceived,by,them,incite,them,to
by,them,incite,them,to,cry
them,incite,them,to,cry,out
incite,them,to,cry,out,Long
them,to,cry,out,Long,live
to,cry,out,Long,live,the
cry,out,Long,live,the,Duke
out,Long,live,the,Duke,de
Long,live,the,Duke,de,Beaufort
live,the,Duke,de,Beaufort,one
the,Duke,de,Beaufort,one,day
Duke,de,Beaufort,one,day,another
de,Beaufort,one,day,another,Long
Beaufort,one,day,another,Long,live
one,day,another,Long,live,the
day,another,Long,live,the,Prince
another,Long,live,the,Prince,de
Long,live,the,Prince,de,Conde
live,the,Prince,de,Conde,and
the,Prince,de,Conde,and,again
Prince,de,Conde,and,again,Long
de,Conde,and,again,Long,live
Conde,and,again,Long,live,the
and,again,Long,live,the,parliament
again,Long,live,the,parliament,And
Long,live,the,parliament,And,at
live,the,parliament,And,at,this
the,parliament,And,at,this,word
parliament,And,at,this,word,the
And,at,this,word,the,smile
at,this,word,the,smile,on
this,word,the,smile,on,the
word,the,smile,on,the,cardinals
the,smile,on,the,cardinals,lips
smile,on,the,cardinals,lips,assumed
on,the,cardinals,lips,assumed,an
the,cardinals,lips,assumed,an,expression
cardinals,lips,assumed,an,expression,of
lips,assumed,an,expression,of,hatred
assumed,an,expression,of,hatred,of
an,expression,of,hatred,of,which
expression,of,hatred,of,which,his
of,hatred,of,which,his,mild
hatred,of,which,his,mild,countenance
of,which,his,mild,countenance,seemed
which,his,mild,countenance,seemed,incapable
We,shall,soon,see,how,to
shall,soon,see,how,to,dispose
soon,see,how,to,dispose,he
see,how,to,dispose,he,continued
how,to,dispose,he,continued,of
to,dispose,he,continued,of,the
dispose,he,continued,of,the,parliament
Both,Orleans,and,Montargis,are,ours
It,will,be,a,work,of
will,be,a,work,of,time
be,a,work,of,time,but
a,work,of,time,but,those
work,of,time,but,those,who
of,time,but,those,who,have
time,but,those,who,have,begun
but,those,who,have,begun,by
those,who,have,begun,by,crying
who,have,begun,by,crying,out
have,begun,by,crying,out,Down
begun,by,crying,out,Down,with
by,crying,out,Down,with,Mazarin
will,finish,by,shouting,out,Down
finish,by,shouting,out,Down,with
by,shouting,out,Down,with,all
shouting,out,Down,with,all,the
out,Down,with,all,the,people
Down,with,all,the,people,I
with,all,the,people,I,have
all,the,people,I,have,mentioned
the,people,I,have,mentioned,each
people,I,have,mentioned,each,in
I,have,mentioned,each,in,his
have,mentioned,each,in,his,turn
It,is,said,that,Mazarin,who
is,said,that,Mazarin,who,though
said,that,Mazarin,who,though,a
that,Mazarin,who,though,a,cardinal
Mazarin,who,though,a,cardinal,had
who,though,a,cardinal,had,not
though,a,cardinal,had,not,taken
a,cardinal,had,not,taken,such
cardinal,had,not,taken,such,vows
had,not,taken,such,vows,as
not,taken,such,vows,as,to
taken,such,vows,as,to,prevent
such,vows,as,to,prevent,it
vows,as,to,prevent,it,was
as,to,prevent,it,was,secretly
to,prevent,it,was,secretly,married
prevent,it,was,secretly,married,to
it,was,secretly,married,to,Anne
was,secretly,married,to,Anne,of
secretly,married,to,Anne,of,AustriaLa
married,to,Anne,of,AustriaLa,Portes
to,Anne,of,AustriaLa,Portes,Memoirs
Richelieu,whom,they,hated,during,his
whom,they,hated,during,his,lifetime
they,hated,during,his,lifetime,and
hated,during,his,lifetime,and,whom
during,his,lifetime,and,whom,they
his,lifetime,and,whom,they,now
lifetime,and,whom,they,now,praise
and,whom,they,now,praise,after
whom,they,now,praise,after,his
they,now,praise,after,his,death
now,praise,after,his,death,was
praise,after,his,death,was,even
after,his,death,was,even,less
his,death,was,even,less,popular
death,was,even,less,popular,than
was,even,less,popular,than,I
even,less,popular,than,I,am
Often,he,was,driven,away,oftener
he,was,driven,away,oftener,still
was,driven,away,oftener,still,had
driven,away,oftener,still,had,he
away,oftener,still,had,he,a
oftener,still,had,he,a,dread
still,had,he,a,dread,of
had,he,a,dread,of,being
he,a,dread,of,being,sent
a,dread,of,being,sent,away
The,queen,will,never,banish,me
queen,will,never,banish,me,and
will,never,banish,me,and,even
never,banish,me,and,even,were
banish,me,and,even,were,I
me,and,even,were,I,obliged
and,even,were,I,obliged,to
even,were,I,obliged,to,yield
were,I,obliged,to,yield,to
I,obliged,to,yield,to,the
obliged,to,yield,to,the,populace
to,yield,to,the,populace,she
yield,to,the,populace,she,would
to,the,populace,she,would,yield
the,populace,she,would,yield,with
populace,she,would,yield,with,me
she,would,yield,with,me,if
would,yield,with,me,if,I
yield,with,me,if,I,fly
with,me,if,I,fly,she
me,if,I,fly,she,will
if,I,fly,she,will,fly
I,fly,she,will,fly,and
fly,she,will,fly,and,then
she,will,fly,and,then,we
will,fly,and,then,we,shall
fly,and,then,we,shall,see
and,then,we,shall,see,how
then,we,shall,see,how,the
we,shall,see,how,the,rebels
shall,see,how,the,rebels,will
see,how,the,rebels,will,get
how,the,rebels,will,get,on
the,rebels,will,get,on,without
rebels,will,get,on,without,either
will,get,on,without,either,king
get,on,without,either,king,or
on,without,either,king,or,queen
Oh,were,I,not,a,foreigner
were,I,but,of,gentle,birth
I,but,of,gentle,birth,The
but,of,gentle,birth,The,position
of,gentle,birth,The,position,of
gentle,birth,The,position,of,the
birth,The,position,of,the,cardinal
The,position,of,the,cardinal,was
position,of,the,cardinal,was,indeed
of,the,cardinal,was,indeed,critical
the,cardinal,was,indeed,critical,and
cardinal,was,indeed,critical,and,recent
was,indeed,critical,and,recent,events
indeed,critical,and,recent,events,had
critical,and,recent,events,had,added
and,recent,events,had,added,to
recent,events,had,added,to,his
events,had,added,to,his,difficulties
Discontent,had,long,pervaded,the,lower
had,long,pervaded,the,lower,ranks
long,pervaded,the,lower,ranks,of
pervaded,the,lower,ranks,of,society
the,lower,ranks,of,society,in
lower,ranks,of,society,in,France
Crushed,and,impoverished,by,taxationimposed,by
and,impoverished,by,taxationimposed,by,Mazarin
impoverished,by,taxationimposed,by,Mazarin,whose
by,taxationimposed,by,Mazarin,whose,avarice
taxationimposed,by,Mazarin,whose,avarice,impelled
by,Mazarin,whose,avarice,impelled,him
Mazarin,whose,avarice,impelled,him,to
whose,avarice,impelled,him,to,grind
avarice,impelled,him,to,grind,them
impelled,him,to,grind,them,down
him,to,grind,them,down,to
to,grind,them,down,to,the
grind,them,down,to,the,very
them,down,to,the,very,dustthe
down,to,the,very,dustthe,people
to,the,very,dustthe,people,as
the,very,dustthe,people,as,the
very,dustthe,people,as,the,AdvocateGeneral
dustthe,people,as,the,AdvocateGeneral,Talon
people,as,the,AdvocateGeneral,Talon,described
as,the,AdvocateGeneral,Talon,described,it
the,AdvocateGeneral,Talon,described,it,had
AdvocateGeneral,Talon,described,it,had,nothing
Talon,described,it,had,nothing,left
described,it,had,nothing,left,to
it,had,nothing,left,to,them
had,nothing,left,to,them,except
nothing,left,to,them,except,their
left,to,them,except,their,souls
to,them,except,their,souls,and
them,except,their,souls,and,as
except,their,souls,and,as,those
their,souls,and,as,those,could
souls,and,as,those,could,not
and,as,those,could,not,be
as,those,could,not,be,sold
those,could,not,be,sold,by
could,not,be,sold,by,auction
not,be,sold,by,auction,they
be,sold,by,auction,they,began
sold,by,auction,they,began,to
by,auction,they,began,to,murmur
Patience,had,in,vain,been,recommended
had,in,vain,been,recommended,to
in,vain,been,recommended,to,them
vain,been,recommended,to,them,by
been,recommended,to,them,by,reports
recommended,to,them,by,reports,of
to,them,by,reports,of,brilliant
them,by,reports,of,brilliant,victories
by,reports,of,brilliant,victories,gained
reports,of,brilliant,victories,gained,by
of,brilliant,victories,gained,by,France
brilliant,victories,gained,by,France,laurels
victories,gained,by,France,laurels,however
gained,by,France,laurels,however,were
by,France,laurels,however,were,not
France,laurels,however,were,not,meat
laurels,however,were,not,meat,and
however,were,not,meat,and,drink
were,not,meat,and,drink,and
not,meat,and,drink,and,the
meat,and,drink,and,the,people
and,drink,and,the,people,had
drink,and,the,people,had,for
and,the,people,had,for,some
the,people,had,for,some,time
people,had,for,some,time,been
had,for,some,time,been,in
for,some,time,been,in,a
some,time,been,in,a,state
time,been,in,a,state,of
been,in,a,state,of,discontent
Had,this,been,all,it,might
this,been,all,it,might,not
been,all,it,might,not,perhaps
all,it,might,not,perhaps,have
it,might,not,perhaps,have,greatly
might,not,perhaps,have,greatly,signified
not,perhaps,have,greatly,signified,for
perhaps,have,greatly,signified,for,when
have,greatly,signified,for,when,the
greatly,signified,for,when,the,lower
signified,for,when,the,lower,classes
for,when,the,lower,classes,alone
when,the,lower,classes,alone,complained
the,lower,classes,alone,complained,the
lower,classes,alone,complained,the,court
classes,alone,complained,the,court,of
alone,complained,the,court,of,France
complained,the,court,of,France,separated
the,court,of,France,separated,as
court,of,France,separated,as,it
of,France,separated,as,it,was
France,separated,as,it,was,from
separated,as,it,was,from,the
as,it,was,from,the,poor
it,was,from,the,poor,by
was,from,the,poor,by,the
from,the,poor,by,the,intervening
the,poor,by,the,intervening,classes
poor,by,the,intervening,classes,of
by,the,intervening,classes,of,the
the,intervening,classes,of,the,gentry
intervening,classes,of,the,gentry,and
classes,of,the,gentry,and,the
of,the,gentry,and,the,_bourgeoisie_
the,gentry,and,the,_bourgeoisie_,seldom
gentry,and,the,_bourgeoisie_,seldom,listened
and,the,_bourgeoisie_,seldom,listened,to
the,_bourgeoisie_,seldom,listened,to,their
_bourgeoisie_,seldom,listened,to,their,voice
seldom,listened,to,their,voice,but
listened,to,their,voice,but,unluckily
to,their,voice,but,unluckily,Mazarin
their,voice,but,unluckily,Mazarin,had
voice,but,unluckily,Mazarin,had,had
but,unluckily,Mazarin,had,had,the
unluckily,Mazarin,had,had,the,imprudence
Mazarin,had,had,the,imprudence,to
had,had,the,imprudence,to,attack
had,the,imprudence,to,attack,the
the,imprudence,to,attack,the,magistrates
imprudence,to,attack,the,magistrates,and
to,attack,the,magistrates,and,had
attack,the,magistrates,and,had,sold
the,magistrates,and,had,sold,no
magistrates,and,had,sold,no,less
and,had,sold,no,less,than
had,sold,no,less,than,twelve
sold,no,less,than,twelve,appointments
no,less,than,twelve,appointments,in
less,than,twelve,appointments,in,the
than,twelve,appointments,in,the,Court
twelve,appointments,in,the,Court,of
appointments,in,the,Court,of,Requests
in,the,Court,of,Requests,at
the,Court,of,Requests,at,a
Court,of,Requests,at,a,high
of,Requests,at,a,high,price
Requests,at,a,high,price,and
at,a,high,price,and,as
a,high,price,and,as,the
high,price,and,as,the,officers
price,and,as,the,officers,of
and,as,the,officers,of,that
as,the,officers,of,that,court
the,officers,of,that,court,paid
officers,of,that,court,paid,very
of,that,court,paid,very,dearly
that,court,paid,very,dearly,for
court,paid,very,dearly,for,their
paid,very,dearly,for,their,places
very,dearly,for,their,places,and
dearly,for,their,places,and,as
for,their,places,and,as,the
their,places,and,as,the,addition
places,and,as,the,addition,of
and,as,the,addition,of,twelve
as,the,addition,of,twelve,new
the,addition,of,twelve,new,colleagues
addition,of,twelve,new,colleagues,would
of,twelve,new,colleagues,would,necessarily
twelve,new,colleagues,would,necessarily,lower
new,colleagues,would,necessarily,lower,the
colleagues,would,necessarily,lower,the,value
would,necessarily,lower,the,value,of
necessarily,lower,the,value,of,each
lower,the,value,of,each,place
the,value,of,each,place,the
value,of,each,place,the,old
of,each,place,the,old,functionaries
each,place,the,old,functionaries,formed
place,the,old,functionaries,formed,a
the,old,functionaries,formed,a,union
old,functionaries,formed,a,union,amongst
functionaries,formed,a,union,amongst,themselves
formed,a,union,amongst,themselves,and
a,union,amongst,themselves,and,enraged
union,amongst,themselves,and,enraged,swore
amongst,themselves,and,enraged,swore,on
themselves,and,enraged,swore,on,the
and,enraged,swore,on,the,Bible
enraged,swore,on,the,Bible,not
swore,on,the,Bible,not,to
on,the,Bible,not,to,allow
the,Bible,not,to,allow,of
Bible,not,to,allow,of,this
not,to,allow,of,this,addition
to,allow,of,this,addition,to
allow,of,this,addition,to,their
of,this,addition,to,their,number
this,addition,to,their,number,but
addition,to,their,number,but,to
to,their,number,but,to,resist
their,number,but,to,resist,all
number,but,to,resist,all,the
